ASV,seed23_run2,seed105_run3,seed12_run4
ASV1087,3,6,7
ASV10879,3,6,1
ASV1088,5,4,6
ASV10881,3,6,1
ASV1089,3,6,1
ASV10892,3,6,1
ASV10899,3,6,1
ASV1090,9,8,10
ASV1091,3,6,1
ASV10910,3,6,1
ASV10911,3,6,1
ASV10913,3,6,1
ASV10915,3,6,1
ASV10918,3,6,1
ASV1092,3,6,1
ASV10929,3,6,1
ASV1093,3,6,1
ASV10930,3,6,1
ASV10931,3,6,1
ASV1094,3,6,13
ASV1095,3,6,1
ASV10957,3,6,1
ASV10969,3,6,1
ASV1097,3,6,1
ASV10970,3,6,1
ASV10973,3,6,1
ASV10974,3,6,1
ASV10976,3,6,1
ASV1098,3,6,1
ASV10982,3,6,1
ASV10986,3,6,1
ASV10987,3,6,1
ASV10990,3,6,1
ASV10991,3,6,1
ASV10992,3,6,1
ASV11000,3,6,1
ASV11003,3,6,1
ASV1101,9,8,10
ASV11015,3,6,1
ASV11022,3,6,1
ASV11023,3,6,1
ASV11028,3,6,1
ASV1103,3,6,1
ASV11030,3,6,1
ASV11031,3,6,1
ASV11032,3,6,1
ASV11049,3,6,1
ASV1105,3,6,1
ASV1106,3,6,1
ASV11060,3,6,1
ASV11061,3,6,1
ASV11062,3,6,1
ASV11063,3,6,1
ASV11066,3,6,1
ASV1107,1,9,12
ASV11071,3,6,1
ASV11073,3,6,1
ASV11074,3,6,1
ASV1108,3,6,1
ASV11090,3,6,1
ASV11093,3,6,1
ASV1110,11,3,7
ASV11104,3,6,1
ASV11113,3,6,1
ASV1112,3,6,1
ASV11121,3,6,1
ASV11129,3,6,1
ASV1113,3,6,1
ASV11133,3,6,1
ASV11136,3,6,1
ASV11138,3,6,1
ASV11139,3,6,1
ASV11144,3,6,1
ASV1115,7,1,8
ASV1116,8,11,9
ASV11165,3,6,1
ASV11167,3,6,1
ASV11168,3,6,1
ASV11169,3,6,1
ASV1117,3,6,1
ASV11179,3,6,1
ASV1118,3,6,1
ASV11181,3,6,1
ASV11196,3,6,1
ASV11199,3,6,1
ASV1120,3,6,1
ASV11200,3,6,1
ASV11201,3,6,1
ASV11203,3,6,1
ASV11204,3,6,1
ASV11207,3,6,1
ASV1121,3,6,1
ASV11210,3,6,1
ASV11213,3,6,1
ASV11218,3,6,1
ASV1122,9,6,1
ASV11221,3,6,1
ASV11222,3,6,1
ASV11229,3,6,1
ASV1123,5,4,6
ASV11239,3,6,1
ASV11243,3,6,1
ASV1125,11,3,7
ASV11259,3,6,1
ASV1126,3,6,1
ASV11269,3,6,1
ASV1127,3,6,1
ASV11273,3,6,1
ASV11287,3,6,1
ASV1129,1,9,12
ASV11300,3,6,1
ASV11306,3,6,1
ASV11308,3,6,1
ASV1131,3,6,1
ASV11310,3,6,1
ASV11319,3,6,1
ASV1132,3,6,1
ASV11323,3,6,1
ASV11327,3,6,1
ASV11329,3,6,1
ASV11330,3,6,1
ASV11340,3,6,1
ASV11341,3,6,1
ASV11343,3,6,1
ASV11345,3,6,1
ASV11350,3,6,1
